"Transfer TimeStamp","Transfer Date","Line Item Amount EUR","Acct. Label","Report Code","Event Period","District Office","Event Type","Expense Description","Expense Type","Travel Mode","Travel Dist"
14-Feb-16,14-Feb-16,61.20,E7062,TR958A,Sep-2015,E0,DECM,DECm in Wroclaw Travel - way back,Travel,Car,360
21-May-16,21-May-16,11.20,E7026,CP604,Dec-2015,E0,Other,web page,Marketing,,
21-May-16,21-May-16,39.00,E7026,CP604,Feb-2016,E0,Other,web page part 2,Marketing,,
21-Jun-16,21-Jun-16,10.00,E7062,TR958B,Apr-2016,E0,Club visit,Club Visit Bydgoszcz,Travel,Car,29.2 km
21-Jun-16,21-Jun-16,10.00,E7062,TR958B,Apr-2016,E0,Club visit,Club Visit Toruń,Travel,Car,26.7 km
21-Jun-16,21-Jun-16,10.00,E7062,TR958B,Apr-2016,E0,Club visit,Club Visit Toruń,Travel,Car,26.7 km
21-Jun-16,21-Jun-16,117.13,E7014,CO154,Apr-2016,E0,Club coaching,Venue for E2 area contest,Venue rental,,
21-Jun-16,21-Jun-16,9.18,E7062,TR958B,Apr-2016,E0,Club visit,"E2 Area Director Club Visit Bydgoszcz (English Club, Roastmasters - both prospective)",Travel,Car,27.0 km
29-Jun-16,29-Jun-16,128.37,E7060,TR963,May-2016,E0,Conference,Travel to DCM,Travel,Air,"1,279 km"
29-Jun-16,29-Jun-16,10.20,E7062,TR958B,Apr-2016,E0,Club visit,"Club Visit, Bydgoszcz Proffesionals",Travel,Car,60
29-Jun-16,29-Jun-16,8.81,E7062,TR958B,May-2016,E0,Club visit,"Club Visit, Sokrates Torun",Travel,Car,25.9 km
29-Jun-16,29-Jun-16,9.09,E7062,TR958B,May-2016,E0,Club visit,"Club Visit, Sokrates Torun second time",Travel,Car,26.7 km
21-Jun-16,21-Jun-16,313.99,E7078,SC802,Apr-2016,FM,Speech contest,"Printing, trophies, finger food and gifts",Refreshments,,
12-Feb-16,12-Feb-16,19.12,E7080,CO151,Oct-2015,L5,Conference,Awards - cups,Awards,,
12-Feb-16,12-Feb-16,3.84,E7062,TR958A,Sep-2015,L5,DECM,Motorway toll - shared driving with Martin Huba and Tomas Brukner,Travel,Car,107 km
12-Feb-16,12-Feb-16,33.87,E7020,CO151,Oct-2015,L5,Conference,Materials Printing,Other,,
14-Feb-16,14-Feb-16,36.88,E7014,CO154,Oct-2015,L5,Conference,Conference Venue ,Venue rental,,
14-Feb-16,14-Feb-16,36.38,E7062,TR958B,Oct-2015,L5,Club visit,Area visit by car - 2 ways (Brno - Olomouc and back Olomouc - Brno),Travel,Car,107 km
31-Mar-16,31-Mar-16,36.88,E7014,MK520,Oct-2015,L5,Other,PR Campaign First Moravian TM - venue for the special event,Venue rental,,
31-Mar-16,31-Mar-16,336.00,E7006,MK520,Oct-2015,L5,Other,"District Shop Order for Area L5 (Marketing, PR, Education)",Other,,
21-May-16,21-May-16,76.00,E7066,TR958A,Feb-2016,L5,DECM,Return Train Ticket for Zuzana Figurova and Alexander Vladimirov,Travel,Train,
28-Jun-16,28-Jun-16,74.00,E7014,SC802,Mar-2016,L5,Conference,venue for Area L4 and L5 Conference,Venue rental,,
28-Jun-16,28-Jun-16,53.54,E7080,SC802,Mar-2016,L5,Conference,Awards and gifts for workshops,Awards,,
28-Jun-16,28-Jun-16,32.91,E7020,SC802,Mar-2016,L5,Conference,Printing and dataprojector,Other,,
28-Jun-16,28-Jun-16,28.54,E7014,SC802,Mar-2016,L5,Conference,venue - part 2 (missing in previous request for venue),Venue rental,,
